
functions called:
filename: <decorator-gen-0>, modulename: <decorator-gen-0>, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: CompatibilityFiles
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: OrphanPath
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: SpecLoaderAdapter
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: SpecPath
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_adapters.py, modulename: _adapters, funcname: TraversableResourcesLoader
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_common.py, modulename: _common, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_common.py, modulename: _common, funcname: package_to_anchor
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\_itertools.py, modulename: _itertools, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\abc.py, modulename: abc, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\abc.py, modulename: abc, funcname: ResourceReader
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\abc.py, modulename: abc, funcname: Traversable
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\abc.py, modulename: abc, funcname: TraversableResources
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\abc.py, modulename: abc, funcname: TraversalError
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\compat\__init__.py, modulename: __init__, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\compat\py38.py, modulename: py38, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\compat\py39.py, modulename: py39, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\future\__init__.py, modulename: __init__, funcname: <module>
filename: C:\Users\Simon\AppData\Roaming\Python\Python39\site-packages\importlib_resources\future\adapters.py, modulename: adapters, funcname: <module>
